latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
48.97565,24.70935,312.68,0.39,0.36,2023-10-17,22,1,VIIRS,n,2.0NRT,279.3,1.77,N
49.24389,6.84664,295.01,0.64,0.72,2023-10-17,22,1,VIIRS,n,2.0NRT,271.82,0.79,N
49.36107,6.74337,296.07,0.65,0.73,2023-10-17,22,1,VIIRS,n,2.0NRT,274.03,0.84,N
50.4166,18.14,302.86,0.41,0.45,2023-10-17,22,1,VIIRS,n,2.0NRT,277.7,1.43,N
50.49157,19.46532,301,0.55,0.42,2023-10-17,22,1,VIIRS,n,2.0NRT,269.77,1.32,N
50.53721,17.9751,305.41,0.42,0.45,2023-10-17,22,1,VIIRS,n,2.0NRT,278.08,1.27,N
50.54452,26.25764,318.1,0.38,0.36,2023-10-17,22,1,VIIRS,n,2.0NRT,279.47,2.14,N
50.79877,19.18518,300.28,0.57,0.43,2023-10-17,22,1,VIIRS,n,2.0NRT,273.95,1.14,N
50.82665,20.27258,295.31,0.52,0.41,2023-10-17,22,1,VIIRS,n,2.0NRT,274.59,1.08,N
50.93044,21.67521,299.15,0.46,0.39,2023-10-17,22,1,VIIRS,n,2.0NRT,277.92,1.04,N
51.14038,23.55141,302.7,0.42,0.37,2023-10-17,22,1,VIIRS,n,2.0NRT,276.37,0.96,N
51.68762,15.98293,306.32,0.52,0.5,2023-10-17,22,1,VIIRS,n,2.0NRT,274.49,5.37,N
51.68807,15.97532,336.72,0.52,0.5,2023-10-17,22,1,VIIRS,n,2.0NRT,274.55,7.63,N
52.15989,10.40482,301.23,0.46,0.63,2023-10-17,22,1,VIIRS,n,2.0NRT,266.65,1.73,N
52.16551,10.42555,295.15,0.46,0.63,2023-10-17,22,1,VIIRS,n,2.0NRT,268.44,0.7,N
52.17113,14.62629,323.15,0.6,0.53,2023-10-17,22,1,VIIRS,n,2.0NRT,263.05,4.36,N
52.17466,14.62177,326.6,0.6,0.53,2023-10-17,22,1,VIIRS,n,2.0NRT,262.95,2.7,N
34.91594,37.94013,297.79,0.76,0.77,2023-10-17,24,1,VIIRS,n,2.0NRT,281.35,0.66,N
34.91695,37.94194,302.8,0.76,0.77,2023-10-17,24,1,VIIRS,n,2.0NRT,281.37,0.95,N
36.52901,37.53082,298.63,0.65,0.73,2023-10-17,24,1,VIIRS,n,2.0NRT,284.55,1.94,N
36.5309,37.53023,295.98,0.65,0.73,2023-10-17,24,1,VIIRS,n,2.0NRT,284.54,2.03,N
36.71978,36.19759,310.23,0.55,0.68,2023-10-17,24,1,VIIRS,n,2.0NRT,289.57,1.87,N
36.72027,36.1985,310.92,0.55,0.68,2023-10-17,24,1,VIIRS,n,2.0NRT,289.68,3.28,N
36.72995,36.20852,301.28,0.55,0.68,2023-10-17,24,1,VIIRS,n,2.0NRT,290.1,1.73,N
36.86904,34.75972,302.22,0.46,0.63,2023-10-17,24,1,VIIRS,n,2.0NRT,289.09,1.05,N
36.86942,34.76331,299.54,0.45,0.63,2023-10-17,24,1,VIIRS,n,2.0NRT,288.94,0.62,N
36.87084,34.75827,299.02,0.45,0.63,2023-10-17,24,1,VIIRS,n,2.0NRT,288.7,0.87,N
37.2964,37.15442,298.35,0.59,0.7,2023-10-17,24,1,VIIRS,n,2.0NRT,284.99,1.25,N
37.35064,37.15824,297.85,0.59,0.7,2023-10-17,24,1,VIIRS,n,2.0NRT,284.64,1.06,N
37.82506,38.42686,296.84,0.66,0.73,2023-10-17,24,1,VIIRS,n,2.0NRT,280.18,0.62,N
38.37453,24.06112,297.94,0.41,0.37,2023-10-17,24,1,VIIRS,n,2.0NRT,285.6,0.68,N
38.73522,26.94661,307.31,0.5,0.41,2023-10-17,24,1,VIIRS,n,2.0NRT,287.36,1.56,N
38.73886,26.9478,299.53,0.5,0.41,2023-10-17,24,1,VIIRS,n,2.0NRT,287.42,1.56,N
38.74251,26.94899,319.15,0.5,0.41,2023-10-17,24,1,VIIRS,n,2.0NRT,285.91,1.97,N
39.09176,27.51282,296.81,0.52,0.41,2023-10-17,24,1,VIIRS,n,2.0NRT,283.3,1.11,N
39.11276,27.52625,336.36,0.52,0.41,2023-10-17,24,1,VIIRS,n,2.0NRT,286.83,7.86,N
39.11392,27.52063,318.75,0.52,0.41,2023-10-17,24,1,VIIRS,n,2.0NRT,283.68,2.62,N
39.11509,27.51494,298.91,0.52,0.41,2023-10-17,24,1,VIIRS,n,2.0NRT,283.67,2.62,N
39.86515,26.24611,305.91,0.45,0.39,2023-10-17,24,1,VIIRS,n,2.0NRT,284.9,1.03,N
40.75943,29.76188,296.18,0.4,0.45,2023-10-17,24,1,VIIRS,n,2.0NRT,284.75,0.72,N
40.78226,29.60062,302.38,0.4,0.44,2023-10-17,24,1,VIIRS,n,2.0NRT,285.28,1.48,N
42.01409,25.79934,299.26,0.41,0.37,2023-10-17,24,1,VIIRS,n,2.0NRT,274.04,0.75,N
42.04593,21.67517,295.68,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,267.79,0.48,N
42.04983,21.69583,311.21,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,269.11,1.37,N
42.04984,21.40593,296.34,0.4,0.37,2023-10-17,24,1,VIIRS,n,2.0NRT,272.77,0.69,N
42.06231,21.74549,299.36,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,273.64,0.81,N
42.06299,21.74071,302.72,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,274.18,0.8,N
42.7138,24.16965,304.81,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,268.94,2.22,N
42.71707,24.17061,334.42,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,271.38,2.22,N
42.71859,24.16134,302.97,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,269.13,1.2,N
43.97152,23.08315,295.66,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,271.9,0.71,N
44.0093,23.21819,296.89,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,272.09,0.69,N
44.02513,22.99907,319.36,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,272.96,1.26,N
44.08236,22.10435,300.78,0.4,0.37,2023-10-17,24,1,VIIRS,n,2.0NRT,275.85,1.06,N
44.59813,20.97369,331.64,0.42,0.38,2023-10-17,24,1,VIIRS,n,2.0NRT,273.61,5.27,N
44.60895,22.59562,318.41,0.39,0.36,2023-10-17,24,1,VIIRS,n,2.0NRT,269.89,1.98,N
45.51805,11.49332,298.12,0.37,0.58,2023-10-17,24,1,VIIRS,n,2.0NRT,277.61,0.61,N
45.52345,11.49376,300.6,0.37,0.58,2023-10-17,24,1,VIIRS,n,2.0NRT,279.58,0.72,N
45.64001,9.59821,298.96,0.46,0.64,2023-10-17,24,1,VIIRS,n,2.0NRT,280.6,1.4,N
28.92458,31.08148,301.95,0.45,0.63,2023-10-17,26,1,VIIRS,n,2.0NRT,290.88,0.95,N
29.01736,31.2015,317.76,0.45,0.63,2023-10-17,26,1,VIIRS,n,2.0NRT,293.46,2.36,N
29.01897,31.19979,312.56,0.45,0.63,2023-10-17,26,1,VIIRS,n,2.0NRT,291.94,3.27,N
29.02297,31.20333,309.35,0.45,0.63,2023-10-17,26,1,VIIRS,n,2.0NRT,291.15,1.22,N
29.6903,32.31715,321.76,0.51,0.66,2023-10-17,26,1,VIIRS,n,2.0NRT,289.4,2.64,N
